name,feature_easting,feature_northing,pointx_class
Reiver House,338714,556014,5280365
Lloyds Pharmacy,430296,279574,5280364
Wilson Hospital,527876,168073,5280371
Elland Pharmacy,410903,421112,5280364
Pimhole Pharmacy,381373,410753,5280364
Health Visitors Office,442912,114233,5280365
Community Nurses Office,378344.6,148727.7,5280365
Drayton Community Pharmacy,467265,105650,5280364
The Beauchamp Centre,249769,55258,5280365
Ealing Urgent Care Centre,514921,180039,5280365
District Nurses Office,439986,114018,5280365
District Nurses Office,344080,391905,5280365
Warrington Road Children's Centre,352619,386174,5280365
Health Visitors Office,367835,79394,5280365
Synergise Pharmacy,444330,518671,5280364
Verwood Pharmacy,409330.2,107865.9,5280364
Weldricks Pharmacy,457304,402982.7,5280364
Badham Pharmacy Ltd,394434,223055,5280364
Reading Community LD Team,467605,172953,5280365
Tesco in-store Pharmacy,392064.9,322725.5,5280364
Archway Pharmacy,441721.8,392780,5280364
Seaton & District Community Hospital,324443,90789,5280371
Bridge Lane Health Centre,527450,176515,5280365
Radcliffe Day and Night Pharmacy,464614,339298,5280364
Sowerby Bridge Pharmacy,405949,423421,5280364
The Cheshire and Merseyside Treatment Centre,353776,380772,5280371
Fleetwood Hospital,333836,448319,5280371
Leek Pharmacy,399589,357492,5280364
Rosebank Pharmacy,348189,455554.6,5280364
All Day Health Centre,327118.6,386422.6,5280365
Rosebird Centre Pharmacy,420712,253492,5280364
Avicenna Pharmacy,406521,94369,5280364
Eastham Clinic,335717.8,379875,5280365
Wychwood Pharmacy,427862,218365,5280364
Day Lewis Pharmacy,530425,408822,5280364
Coleman Health Centre,437401,333193,5280365
Anglia Community Eye Service,545004.8,307776.1,5280365
Medicure Pharmacy,455742,301690,5280364
The Romford Road Centre,539270,184533,5280365
District Nurses and Health Visitors,550066,175796,5280365
Bluedew Pharmacy,536150,189450,5280364
Lloyds Pharmacy,402884.1,272620.8,5280364
Yapton Pharmacy,497777,103421,5280364
Fountain Pharmacy,512216,179383,5280364
District Nurses,431173,410021,5280365
Hillside Centre,350459.7,238492.3,5280365
Community Nurses Office,526837,181806,5280365
Queens Medical Centre,255995,133218,5280365
Tanner Street Pharmacy,587058,282976,5280364
Well Pharmacy,402217,303606,5280364
Jhoots Pharmacy,508218.2,427822.4,5280364
Boots,562545,319354,5280364
Community Nurses Office,501620,375143,5280365
Community Nurses Office,536056.6,324962.1,5280365
Medipharma Chemist,404206,282297,5280364
Community Health Services,525257,170458,5280365
Oxenhope Pharmacy,403302,435045,5280364
Peak Pharmacy,439342.3,363608.4,5280364
St Bede's Unit,426836,560329,5280365
Pitman Pharmacy,402424,280057,5280364
Keir Hardie Pharmacy,304163,206211,5280364
Continence Office,528266,143121,5280365
Gate House Pharmacy,432607,410122,5280364
Westerhope Medical Group,419830,564976,5280365
Community Nurses Office,425112,566936,5280365
The Grove Medical Group,424464,567578,5280365
The Park Medical Group,421301,568752,5280365
The Arthur Medical Centre,438728.6,345177.3,5280365
Rowlands Pharmacy,335006,392418,5280364
Rowlands Pharmacy,341432.6,398772.8,5280364
Healthpoint Pharmacy,378631,275361,5280364
Boots,509240,186991,5280364
Late Night Yew Tree Pharmacy,416025,280350,5280364
Adams Pharmacy,394908,399573,5280364
Day - Night Pharmacy,386040,351705,5280364
The Riverside Pharmacy,507042,345683,5280364
Ealing Stop Smoking Service,516504,180629,5280365
Sunfield Medical Centre,422002,434539,5280365
Hado Pharmacy,611757,280131,5280364
Culm Valley Integrated Centre for Health,302084.7,108110.4,5280365
Maltby Pharmacy,452995,392018,5280364
Harold Wood Polyclinic,554268.9,190605.8,5280365
