Region name,MSOA code,MSOA name
East of England,E02003238,Werrington
East of England,E02003239,Newborough & Peakirk
East of England,E02003240,"Barnack, Wittering & Wansford"
East of England,E02003241,Eye & Thorney
East of England,E02003242,Walton
East of England,E02003243,Paston
East of England,E02003244,Dogsthorpe
East of England,E02003245,North Bretton & Westwood
East of England,E02003246,Millfield & Bourges Boulevard
East of England,E02003247,Bretton Park
East of England,E02003248,Central Park
East of England,E02003249,Fengate & Parnwell
East of England,E02003250,Peterborough Central
East of England,E02003251,Longthorpe & Netherton
East of England,E02003252,West Town & Woodston
East of England,E02003253,Fletton
East of England,E02003254,Orton West & Castor
East of England,E02003255,Stanground
East of England,E02003257,Orton Malborne & Goldhay
East of England,E02006877,Hargate & Orton Longueville
East of England,E02006878,Hampton Vale
East of England,E02003258,Bramingham
East of England,E02003259,Sundon Park
East of England,E02003260,Marsh Farm
East of England,E02003261,Warden Hill
East of England,E02003262,Leagrave
East of England,E02003263,Limbury
East of England,E02003264,Barnfield
East of England,E02003265,Stopsley North
East of England,E02003266,Lewsey North
East of England,E02003267,Montrose Avenue
East of England,E02003268,Challney
East of England,E02003269,Stopsley South & Round Green
East of England,E02003270,Lewsey South
East of England,E02003271,Wigmore & Airport
East of England,E02003272,Kingsway
East of England,E02003273,St Anns Hill
East of England,E02003274,Bury Park
East of England,E02003275,Central Luton & Park Town
East of England,E02003276,Dallow Road
East of England,E02003277,Farley Hill & Stockwood Park
East of England,E02003278,New Town
East of England,E02003279,Eastwood Park
East of England,E02003280,Eastwood
East of England,E02003281,Belfairs
East of England,E02003282,Prittlewell
East of England,E02003283,Blenheim Park
East of England,E02003284,St Lukes
East of England,E02003285,Westborough
East of England,E02003286,West Leigh
East of England,E02003287,Southchurch
East of England,E02003288,Victoria
East of England,E02003289,Leigh
East of England,E02003290,Chalkwell
East of England,E02003291,Shoeburyness
East of England,E02003292,Kursaal
East of England,E02003293,Southend Central
East of England,E02003294,Thorpe Bay
East of England,E02003295,West Shoebury
East of England,E02003296,Corringham North & London Gateway
East of England,E02003297,Corringham South
East of England,E02003298,Stanford East
East of England,E02003299,"Orsett, Bulphan & Hordon-on-the-Hill"
East of England,E02003300,Stanford West
East of England,E02003301,North Ockendon
East of England,E02003302,South Ockendon
East of England,E02003303,Aveley
East of England,E02003304,Stifford Clays
East of England,E02003305,Little Thurrock North
East of England,E02003307,Chadwell St Mary
East of England,E02003308,East Tilbury
East of England,E02003309,Little Thurrock South
East of England,E02003310,"Purfleet, South Stifford & Lakeside"
East of England,E02003311,Grays Chafford Gorges & Orsett Road
East of England,E02003312,Grays Town
East of England,E02003313,Tilbury
East of England,E02006859,South Chafford
East of England,E02006926,Chafford & North Stifford
East of England,E02003616,Riseley & Sharnbrook
East of England,E02003617,"Harrold, Chellington & Turvey"
East of England,E02003618,"Clapham, Oakley & Thurleigh"
East of England,E02003619,"Wyboston, Great Barford & Cople"
East of England,E02003620,Brickhill
East of England,E02003621,Putnoe
East of England,E02003622,Goldington
East of England,E02003623,Bromham & Biddenham
East of England,E02003624,De Parys
East of England,E02003625,Harpur
East of England,E02003626,Newnham
East of England,E02003627,Castle & Kingsway
East of England,E02003628,Queens Park
East of England,E02003629,Kingsbrook
East of England,E02003630,Cauldwell
East of England,E02003631,Kempston North
East of England,E02003632,Kempston Central & East
East of England,E02003633,Kempston West & South
East of England,E02003634,"Elstow, Shortstown & Wixams"
East of England,E02003635,Wootton & Stewartby
East of England,E02003599,Sandy North
East of England,E02003600,Sandy South
East of England,E02003601,Potton
East of England,E02003602,"Blunham, Caldecote & Broom"
East of England,E02003603,Biggleswade West
East of England,E02003604,Biggleswade East
East of England,E02003605,Cranfield & Aspley Guise
East of England,E02003606,Houghton Conquest & Clophill
East of England,E02003607,"Marston Moretaine, Lidlington & Woburn"
East of England,E02003608,Arlesey & Henlow
East of England,E02003609,Shefford & Shillington
East of England,E02003610,Ampthill & Millbrook
East of England,E02003611,"Clifton, Meppershall & Stondon"
